,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
patch 0,0.0569,0.0607,0.0625,0.0629,0.0626,0.0623,0.0617,0.0617,0.0631,0.0661,0.069,0.0704,0.0713,0.0732,0.0766,0.0793,0.0812,0.0845,0.0917,0.1051,0.1221,0.1369,0.1444,0.1465,0.1502,0.1594,0.1725,0.1849,0.1929,0.1924,0.1839,0.1752,0.1742,0.1805,0.1905,0.2035
patch 1,0.0945,0.119,0.1592,0.1767,0.1837,0.189,0.1971,0.2062,0.2234,0.249,0.2808,0.3112,0.333,0.3342,0.3102,0.2771,0.2636,0.2695,0.2714,0.2857,0.3394,0.417,0.4803,0.5191,0.5434,0.5625,0.5831,0.6068,0.6356,0.6678,0.7029,0.7395,0.7784,0.8109,0.8339,0.8496
patch 2,0.1019,0.1409,0.2261,0.2749,0.2982,0.3147,0.3295,0.3319,0.3289,0.3221,0.3095,0.2901,0.2675,0.2461,0.2242,0.2058,0.1944,0.1837,0.1686,0.1561,0.1493,0.1472,0.144,0.1382,0.1328,0.1304,0.133,0.1402,0.1491,0.1535,0.1521,0.1473,0.1406,0.1355,0.138,0.1506
patch 3,0.0507,0.0525,0.0524,0.0522,0.0526,0.0535,0.0547,0.0562,0.0611,0.0707,0.0816,0.0877,0.0924,0.1053,0.1382,0.1781,0.1887,0.172,0.1489,0.1321,0.1227,0.1173,0.112,0.1077,0.1073,0.1115,0.1182,0.1242,0.1275,0.1261,0.1199,0.1138,0.1122,0.1144,0.1178,0.1231
patch 4,0.1125,0.163,0.2902,0.3684,0.4036,0.4198,0.4237,0.4164,0.4075,0.3948,0.3733,0.3464,0.3164,0.2833,0.2491,0.2264,0.2175,0.2083,0.1906,0.1769,0.1776,0.1934,0.2161,0.2365,0.245,0.2553,0.2839,0.3267,0.3678,0.389,0.3897,0.3846,0.3891,0.4034,0.4221,0.4442
patch 5,0.1139,0.1552,0.2458,0.2961,0.3223,0.3418,0.3622,0.3802,0.4151,0.4657,0.5168,0.5564,0.5802,0.5845,0.5748,0.5532,0.5235,0.4849,0.4387,0.3918,0.3416,0.2925,0.2493,0.2204,0.205,0.1968,0.1915,0.1881,0.1902,0.1981,0.2093,0.2205,0.2297,0.2318,0.2264,0.2235
patch 6,0.0461,0.0483,0.0488,0.0488,0.0503,0.0512,0.0519,0.0533,0.0576,0.0661,0.0754,0.0805,0.0846,0.0946,0.1183,0.1485,0.1723,0.2022,0.2604,0.3547,0.4587,0.5392,0.5845,0.604,0.611,0.6124,0.6132,0.613,0.6134,0.613,0.6122,0.6112,0.6123,0.6125,0.6107,0.609
patch 7,0.1035,0.1456,0.2432,0.3017,0.3407,0.3767,0.4047,0.4074,0.395,0.3656,0.3179,0.2625,0.2108,0.1714,0.1414,0.12,0.1063,0.0965,0.0889,0.0843,0.0818,0.0812,0.0813,0.0814,0.082,0.0843,0.0898,0.0988,0.1116,0.1285,0.1514,0.1816,0.2212,0.2681,0.3194,0.3692
patch 8,0.0816,0.1003,0.1238,0.1284,0.125,0.1224,0.1192,0.1151,0.111,0.1067,0.1023,0.0983,0.0943,0.0892,0.084,0.0812,0.0808,0.0808,0.0807,0.0896,0.139,0.2528,0.3949,0.5073,0.5697,0.5953,0.6043,0.6061,0.6066,0.6056,0.6037,0.6015,0.6015,0.6004,0.5974,0.5946
